Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
Fares and Other Operating Revenue,HQ,MTA Headquarters,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",66,66,1/1/2014,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2014,66
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",21.7,21.7,1/1/2014,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2014,21.7
Fares and Other Operating Revenue,HQ,MTA Headquarters,,Includes farebox revenue and unused fare media.,0,0,1/1/2015,Fare Revenue,Farebox Revenue,Fare Revenue,2015,0
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",426,426,1/1/2015,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2015,426
Fares and Other Operating Revenue,HQ,MTA Headquarters,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",50.391,50.391,1/1/2015,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2015,50.391
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",180.3,180.3,1/1/2015,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2015,180.3
Fares and Other Operating Revenue,HQ,MTA Headquarters,,Includes farebox revenue and unused fare media.,0,0,1/1/2016,Fare Revenue,Farebox Revenue,Fare Revenue,2016,0
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",451.1,451.1,1/1/2016,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2016,451.1
Fares and Other Operating Revenue,HQ,MTA Headquarters,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",60.927,60.927,1/1/2016,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2016,60.927
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",132.1,132.1,1/1/2016,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2016,132.1
Fares and Other Operating Revenue,HQ,MTA Headquarters,,Includes farebox revenue and unused fare media.,0,0,1/1/2017,Fare Revenue,Farebox Revenue,Fare Revenue,2017,0
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",443.1039445,443.1039445,1/1/2017,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2017,443.1039445
Fares and Other Operating Revenue,HQ,MTA Headquarters,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",55.888,55.888,1/1/2017,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2017,55.888
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",221.8316906,221.8316906,1/1/2017,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2017,221.8316906
Fares and Other Operating Revenue,HQ,MTA Headquarters,Mid-year forecast,Includes farebox revenue and unused fare media.,0.001,0.001,1/1/2018,Fare Revenue,Farebox Revenue,Fare Revenue,2018,0.001
General Taxpayer Subsidies,HQ,MTA Headquarters,Mid-year forecast,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",438.2,438.2,1/1/2018,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2018,438.2
Fares and Other Operating Revenue,HQ,MTA Headquarters,Mid-year forecast,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",37.744,37.744,1/1/2018,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2018,37.744
General Taxpayer Subsidies,HQ,MTA Headquarters,Mid-year forecast,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",320.9364084,320.9364084,1/1/2018,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2018,320.9364084
Fares and Other Operating Revenue,HQ,MTA Headquarters,Preliminary budget,Includes farebox revenue and unused fare media.,0,0,1/1/2019,Fare Revenue,Farebox Revenue,Fare Revenue,2019,0
General Taxpayer Subsidies,HQ,MTA Headquarters,Preliminary budget,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",248.6,248.6,1/1/2019,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2019,248.6
Fares and Other Operating Revenue,HQ,MTA Headquarters,Preliminary budget,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",57.872,57.872,1/1/2019,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2019,57.872
General Taxpayer Subsidies,HQ,MTA Headquarters,Preliminary budget,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",526,526,1/1/2019,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2019,526
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,Includes farebox revenue and unused fare media.,0,0,1/1/2020,Fare Revenue,Farebox Revenue,Fare Revenue,2020,0
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",255.7,255.7,1/1/2020,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2020,255.7
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",52.815,52.815,1/1/2020,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2020,52.815
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",476.9,476.9,1/1/2020,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2020,476.9
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,Includes farebox revenue and unused fare media.,0,0,1/1/2021,Fare Revenue,Farebox Revenue,Fare Revenue,2021,0
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",268,268,1/1/2021,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2021,268
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",54.872,54.872,1/1/2021,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2021,54.872
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",473.3,473.3,1/1/2021,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2021,473.3
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,Includes farebox revenue and unused fare media.,0,0,1/1/2022,Fare Revenue,Farebox Revenue,Fare Revenue,2022,0
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",268.4,268.4,1/1/2022,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2022,268.4
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",57.006,57.006,1/1/2022,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2022,57.006
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",489.1,489.1,1/1/2022,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2022,489.1
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,Includes farebox revenue and unused fare media.,0,0,1/1/2023,Fare Revenue,Farebox Revenue,Fare Revenue,2023,0
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",268.5025145,268.5025145,1/1/2023,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2023,268.5025145
Fares and Other Operating Revenue,HQ,MTA Headquarters,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",59.593,59.593,1/1/2023,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2023,59.593
General Taxpayer Subsidies,HQ,MTA Headquarters,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",505.5,505.5,1/1/2023,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2023,505.5
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,98.1888764,98.1888764,1/1/2010,Toll Revenue,B&T Operating Surplus,Toll Revenue,2010,98.1888764
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,48.40684313,48.40684313,1/1/2010,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2010,48.40684313
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,0,0,1/1/2010,Fare Revenue,Fare Increase 2021,Fare Revenue,2010,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",31.55936021,31.55936021,1/1/2010,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2010,31.55936021
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.23847964,10.23847964,1/1/2010,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2010,10.23847964
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",53.11429709,53.11429709,1/1/2010,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2010,53.11429709
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2010,Toll Revenue,Toll Increase 2021,Toll Revenue,2010,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2011,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2011,0
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,115.9010458,115.9010458,1/1/2011,Toll Revenue,B&T Operating Surplus,Toll Revenue,2011,115.9010458
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",93.9,93.9,1/1/2011,Dedicated Taxes and Subsidies,CDOT Subsidy,Dedicated Taxes and Subsidies,2011,93.9
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,CDOT Subsidy for Metro-North Railroad,Dedicated Taxes and Subsidies,2011,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,49.86306727,49.86306727,1/1/2011,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2011,49.86306727
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,0,0,1/1/2011,Fare Revenue,Fare Increase 2021,Fare Revenue,2011,
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,567.533,567.533,1/1/2011,Fare Revenue,Farebox Revenue,Fare Revenue,2011,567.533
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2011,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.141133585,0.141133585,1/1/2011,Dedicated Taxes and Subsidies,Investment Income,Dedicated Taxes and Subsidies,2011,0.141133585
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",8.806912695,8.806912695,1/1/2011,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2011,8.806912695
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",39.68989378,39.68989378,1/1/2011,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2011,39.68989378
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",138.9471494,138.9471494,1/1/2011,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2011,138.9471494
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",5.891192553,5.891192553,1/1/2011,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2011,5.891192553
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2011,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2011,0
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2011,Dedicated Taxes and Subsidies,Nassau County Subsidy,Dedicated Taxes and Subsidies,2011,0
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",47.757,47.757,1/1/2011,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2011,47.757
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",64.92007286,64.92007286,1/1/2011,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2011,64.92007286
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2011,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",32.7782752,32.7782752,1/1/2011,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2011,32.7782752
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.33803513,10.33803513,1/1/2011,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2011,10.33803513
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",54.05416319,54.05416319,1/1/2011,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2011,54.05416319
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2011,Toll Revenue,Toll Increase 2021,Toll Revenue,2011,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2012,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,107.0573607,107.0573607,1/1/2012,Toll Revenue,B&T Operating Surplus,Toll Revenue,2012,107.0573607
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",80.7,80.7,1/1/2012,Dedicated Taxes and Subsidies,CDOT Subsidy,Dedicated Taxes and Subsidies,2012,80.7
