Business Line (group),Business Line,Date Prefix,Adjustments Outcome,No-Adjustments Value,Date,Date (group),Description1,Revenue and Expense Type,Year,Value
MTA Bus,MTA Bus Company,Projected,42.193,42.193,1/1/2022,Projected,Professional Service Contracts,Non-labor Expense,2022,42.193
MTA Bus,MTA Bus Company,Projected,-0.935,-0.935,1/1/2022,Projected,Reimbursable Overhead,Labor Expense,2022,-0.935
MTA Bus,MTA Bus Company,Projected,41.761,41.761,1/1/2022,Projected,Total MTA Bus Debt Service,Debt Service,2022,41.761
MTA Bus,MTA Bus Company,Projected,67.988,67.988,1/1/2023,Projected,Claims,Non-labor Expense,2023,67.988
MTA Bus,MTA Bus Company,Projected,2.267,2.267,1/1/2023,Projected,Electric Power,Non-labor Expense,2023,2.267
MTA Bus,MTA Bus Company,Projected,25.513,25.513,1/1/2023,Projected,Fuel,Non-labor Expense,2023,25.513
MTA Bus,MTA Bus Company,Projected,89.317,89.317,1/1/2023,Projected,Health and Welfare,Labor Expense,2023,89.317
MTA Bus,MTA Bus Company,Projected,9.723,9.723,1/1/2023,Projected,Insurance,Non-labor Expense,2023,9.723
MTA Bus,MTA Bus Company,Projected,31.662,31.662,1/1/2023,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2023,31.662
MTA Bus,MTA Bus Company,Projected,47.95,47.95,1/1/2023,Projected,Materials and Supplies,Non-labor Expense,2023,47.95
MTA Bus,MTA Bus Company,Projected,29.106,29.106,1/1/2023,Projected,OPEB Current Payment,Labor Expense,2023,29.106
MTA Bus,MTA Bus Company,Projected,5.332,5.332,1/1/2023,Projected,Other Business Expenses,Non-labor Expense,2023,5.332
MTA Bus,MTA Bus Company,Projected,72.634,72.634,1/1/2023,Projected,Other Fringe Benefits,Labor Expense,2023,72.634
MTA Bus,MTA Bus Company,Projected,61.48,61.48,1/1/2023,Projected,Overtime,Labor Expense,2023,61.48
MTA Bus,MTA Bus Company,Projected,0,0,1/1/2023,Projected,Paratransit Service Contracts,Non-labor Expense,2023,0
MTA Bus,MTA Bus Company,Projected,292.072,292.072,1/1/2023,Projected,Payroll,Labor Expense,2023,292.072
MTA Bus,MTA Bus Company,Projected,50.517,50.517,1/1/2023,Projected,Pensions,Labor Expense,2023,50.517
MTA Bus,MTA Bus Company,Projected,42.05,42.05,1/1/2023,Projected,Professional Service Contracts,Non-labor Expense,2023,42.05
MTA Bus,MTA Bus Company,Projected,-0.932,-0.932,1/1/2023,Projected,Reimbursable Overhead,Labor Expense,2023,-0.932
MTA Bus,MTA Bus Company,Projected,45.856,45.856,1/1/2023,Projected,Total MTA Bus Debt Service,Debt Service,2023,45.856
HQ,MTA Headquarters,,3.257,3.257,1/1/2010, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2010,3.257
HQ,MTA Headquarters,,2.266,2.266,1/1/2011, ,Claims,Non-labor Expense,2011,2.266
HQ,MTA Headquarters,,6.777,6.777,1/1/2011, ,Electric Power,Non-labor Expense,2011,6.777
HQ,MTA Headquarters,,2.543,2.543,1/1/2011, ,Fuel,Non-labor Expense,2011,2.543
HQ,MTA Headquarters,,20.391,20.391,1/1/2011, ,Health and Welfare,Labor Expense,2011,20.391
HQ,MTA Headquarters,,4.873,4.873,1/1/2011, ,Insurance,Non-labor Expense,2011,4.873
HQ,MTA Headquarters,,44.572,44.572,1/1/2011, ,Maintenance and Other Operating Contracts,Non-labor Expense,2011,44.572
HQ,MTA Headquarters,,0.322,0.322,1/1/2011, ,Materials and Supplies,Non-labor Expense,2011,0.322
HQ,MTA Headquarters,,6.847,6.847,1/1/2011, ,OPEB Current Payment,Labor Expense,2011,6.847
HQ,MTA Headquarters,,31.548,31.548,1/1/2011, ,Other Business Expenses,Non-labor Expense,2011,31.548
HQ,MTA Headquarters,,16.036,16.036,1/1/2011, ,Other Fringe Benefits,Labor Expense,2011,16.036
HQ,MTA Headquarters,,14.174,14.174,1/1/2011, ,Overtime,Labor Expense,2011,14.174
HQ,MTA Headquarters,,0,0,1/1/2011, ,Paratransit Service Contracts,Non-labor Expense,2011,0
HQ,MTA Headquarters,,159.886,159.886,1/1/2011, ,Payroll,Labor Expense,2011,159.886
HQ,MTA Headquarters,,27.899,27.899,1/1/2011, ,Pensions,Labor Expense,2011,27.899
HQ,MTA Headquarters,,44.896,44.896,1/1/2011, ,Professional Service Contracts,Non-labor Expense,2011,44.896
HQ,MTA Headquarters,,-40.392,-40.392,1/1/2011, ,Reimbursable Overhead,Labor Expense,2011,-40.392
HQ,MTA Headquarters,,3.182,3.182,1/1/2011, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2011,3.182
HQ,MTA Headquarters,,-0.015,-0.015,1/1/2012, ,Claims,Non-labor Expense,2012,-0.015
HQ,MTA Headquarters,,7.087,7.087,1/1/2012, ,Electric Power,Non-labor Expense,2012,7.087
HQ,MTA Headquarters,,2.417,2.417,1/1/2012, ,Fuel,Non-labor Expense,2012,2.417
HQ,MTA Headquarters,,23.164,23.164,1/1/2012, ,Health and Welfare,Labor Expense,2012,23.164
HQ,MTA Headquarters,,0.347,0.347,1/1/2012, ,Insurance,Non-labor Expense,2012,0.347
HQ,MTA Headquarters,,54.91,54.91,1/1/2012, ,Maintenance and Other Operating Contracts,Non-labor Expense,2012,54.91
HQ,MTA Headquarters,,0,0,1/1/2012, ,Materials and Supplies,Non-labor Expense,2012,0
HQ,MTA Headquarters,,7.741,7.741,1/1/2012, ,OPEB Current Payment,Labor Expense,2012,7.741
HQ,MTA Headquarters,,-11.615,-11.615,1/1/2012, ,Other Business Expenses,Non-labor Expense,2012,-11.615
HQ,MTA Headquarters,,17.391,17.391,1/1/2012, ,Other Fringe Benefits,Labor Expense,2012,17.391
HQ,MTA Headquarters,,12.954,12.954,1/1/2012, ,Overtime,Labor Expense,2012,12.954
HQ,MTA Headquarters,,0,0,1/1/2012, ,Paratransit Service Contracts,Non-labor Expense,2012,0
HQ,MTA Headquarters,,154.472,154.472,1/1/2012, ,Payroll,Labor Expense,2012,154.472
HQ,MTA Headquarters,,34.326,34.326,1/1/2012, ,Pensions,Labor Expense,2012,34.326
HQ,MTA Headquarters,,56.314,56.314,1/1/2012, ,Professional Service Contracts,Non-labor Expense,2012,56.314
HQ,MTA Headquarters,,-59.852,-59.852,1/1/2012, ,Reimbursable Overhead,Labor Expense,2012,-59.852
HQ,MTA Headquarters,,0.638,0.638,1/1/2012, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2012,0.638
HQ,MTA Headquarters,,1.024,1.024,1/1/2013, ,Claims,Non-labor Expense,2013,1.024
HQ,MTA Headquarters,,8.253,8.253,1/1/2013, ,Electric Power,Non-labor Expense,2013,8.253
HQ,MTA Headquarters,,2.238,2.238,1/1/2013, ,Fuel,Non-labor Expense,2013,2.238
HQ,MTA Headquarters,,24.242,24.242,1/1/2013, ,Health and Welfare,Labor Expense,2013,24.242
HQ,MTA Headquarters,,2.868,2.868,1/1/2013, ,Insurance,Non-labor Expense,2013,2.868
HQ,MTA Headquarters,,61.43,61.43,1/1/2013, ,Maintenance and Other Operating Contracts,Non-labor Expense,2013,61.43
HQ,MTA Headquarters,,0,0,1/1/2013, ,Materials and Supplies,Non-labor Expense,2013,0
HQ,MTA Headquarters,,7.974,7.974,1/1/2013, ,OPEB Current Payment,Labor Expense,2013,7.974
HQ,MTA Headquarters,,13.491,13.491,1/1/2013, ,Other Business Expenses,Non-labor Expense,2013,13.491
HQ,MTA Headquarters,,14.284,14.284,1/1/2013, ,Other Fringe Benefits,Labor Expense,2013,14.284
HQ,MTA Headquarters,,10.467,10.467,1/1/2013, ,Overtime,Labor Expense,2013,10.467
HQ,MTA Headquarters,,0,0,1/1/2013, ,Paratransit Service Contracts,Non-labor Expense,2013,0
HQ,MTA Headquarters,,151.691,151.691,1/1/2013, ,Payroll,Labor Expense,2013,151.691
HQ,MTA Headquarters,,44.182,44.182,1/1/2013, ,Pensions,Labor Expense,2013,44.182
HQ,MTA Headquarters,,46.845,46.845,1/1/2013, ,Professional Service Contracts,Non-labor Expense,2013,46.845
HQ,MTA Headquarters,,-45.428,-45.428,1/1/2013, ,Reimbursable Overhead,Labor Expense,2013,-45.428
HQ,MTA Headquarters,,1.712,1.712,1/1/2013, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2013,1.712
HQ,MTA Headquarters,,0.573,0.573,1/1/2014, ,Claims,Non-labor Expense,2014,0.573
HQ,MTA Headquarters,,8.399,8.399,1/1/2014, ,Electric Power,Non-labor Expense,2014,8.399
HQ,MTA Headquarters,,1.148,1.148,1/1/2014, ,Fuel,Non-labor Expense,2014,1.148
HQ,MTA Headquarters,,25.095,25.095,1/1/2014, ,Health and Welfare,Labor Expense,2014,25.095
HQ,MTA Headquarters,,3.281,3.281,1/1/2014, ,Insurance,Non-labor Expense,2014,3.281
HQ,MTA Headquarters,,66.414,66.414,1/1/2014, ,Maintenance and Other Operating Contracts,Non-labor Expense,2014,66.414
HQ,MTA Headquarters,,0,0,1/1/2014, ,Materials and Supplies,Non-labor Expense,2014,0
HQ,MTA Headquarters,,8.934,8.934,1/1/2014, ,OPEB Current Payment,Labor Expense,2014,8.934
HQ,MTA Headquarters,,18.634,18.634,1/1/2014, ,Other Business Expenses,Non-labor Expense,2014,18.634
HQ,MTA Headquarters,,17.435,17.435,1/1/2014, ,Other Fringe Benefits,Labor Expense,2014,17.435
HQ,MTA Headquarters,,7.517,7.517,1/1/2014, ,Overtime,Labor Expense,2014,7.517
HQ,MTA Headquarters,,0,0,1/1/2014, ,Paratransit Service Contracts,Non-labor Expense,2014,0
HQ,MTA Headquarters,,168.265,168.265,1/1/2014, ,Payroll,Labor Expense,2014,168.265
HQ,MTA Headquarters,,45.332,45.332,1/1/2014, ,Pensions,Labor Expense,2014,45.332
HQ,MTA Headquarters,,51.994,51.994,1/1/2014, ,Professional Service Contracts,Non-labor Expense,2014,51.994
HQ,MTA Headquarters,,-38.505,-38.505,1/1/2014, ,Reimbursable Overhead,Labor Expense,2014,-38.505
HQ,MTA Headquarters,,2.438,2.438,1/1/2014, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2014,2.438
HQ,MTA Headquarters,,2.107,2.107,1/1/2015, ,Claims,Non-labor Expense,2015,2.107
HQ,MTA Headquarters,,6.855,6.855,1/1/2015, ,Electric Power,Non-labor Expense,2015,6.855
HQ,MTA Headquarters,,0.823,0.823,1/1/2015, ,Fuel,Non-labor Expense,2015,0.823
HQ,MTA Headquarters,,46.823,46.823,1/1/2015, ,Health and Welfare,Labor Expense,2015,46.823
HQ,MTA Headquarters,,4.695,4.695,1/1/2015, ,Insurance,Non-labor Expense,2015,4.695
HQ,MTA Headquarters,,67.051,67.051,1/1/2015, ,Maintenance and Other Operating Contracts,Non-labor Expense,2015,67.051
HQ,MTA Headquarters,,0.01,0.01,1/1/2015, ,Materials and Supplies,Non-labor Expense,2015,0.01
HQ,MTA Headquarters,,10.203,10.203,1/1/2015, ,OPEB Current Payment,Labor Expense,2015,10.203
HQ,MTA Headquarters,,20.456,20.456,1/1/2015, ,Other Business Expenses,Non-labor Expense,2015,20.456
HQ,MTA Headquarters,,15.037,15.037,1/1/2015, ,Other Fringe Benefits,Labor Expense,2015,15.037
HQ,MTA Headquarters,,8.239,8.239,1/1/2015, ,Overtime,Labor Expense,2015,8.239
HQ,MTA Headquarters,,0,0,1/1/2015, ,Paratransit Service Contracts,Non-labor Expense,2015,0
HQ,MTA Headquarters,,243.39,243.39,1/1/2015, ,Payroll,Labor Expense,2015,243.39
HQ,MTA Headquarters,,66.624,66.624,1/1/2015, ,Pensions,Labor Expense,2015,66.624
HQ,MTA Headquarters,,142.972,142.972,1/1/2015, ,Professional Service Contracts,Non-labor Expense,2015,142.972
HQ,MTA Headquarters,,-32.214,-32.214,1/1/2015, ,Reimbursable Overhead,Labor Expense,2015,-32.214
HQ,MTA Headquarters,,2.716,2.716,1/1/2015, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2015,2.716
HQ,MTA Headquarters,,2.655,2.655,1/1/2016, ,Claims,Non-labor Expense,2016,2.655
HQ,MTA Headquarters,,5.958,5.958,1/1/2016, ,Electric Power,Non-labor Expense,2016,5.958
HQ,MTA Headquarters,,0.751,0.751,1/1/2016, ,Fuel,Non-labor Expense,2016,0.751
HQ,MTA Headquarters,,52.217,52.217,1/1/2016, ,Health and Welfare,Labor Expense,2016,52.217
HQ,MTA Headquarters,,4.215,4.215,1/1/2016, ,Insurance,Non-labor Expense,2016,4.215
HQ,MTA Headquarters,,66.358,66.358,1/1/2016, ,Maintenance and Other Operating Contracts,Non-labor Expense,2016,66.358
HQ,MTA Headquarters,,0.044,0.044,1/1/2016, ,Materials and Supplies,Non-labor Expense,2016,0.044
HQ,MTA Headquarters,,12.02,12.02,1/1/2016, ,OPEB Current Payment,Labor Expense,2016,12.02
HQ,MTA Headquarters,,18.823,18.823,1/1/2016, ,Other Business Expenses,Non-labor Expense,2016,18.823
HQ,MTA Headquarters,,24.61,24.61,1/1/2016, ,Other Fringe Benefits,Labor Expense,2016,24.61
HQ,MTA Headquarters,,9.701,9.701,1/1/2016, ,Overtime,Labor Expense,2016,9.701
HQ,MTA Headquarters,,0,0,1/1/2016, ,Paratransit Service Contracts,Non-labor Expense,2016,0
HQ,MTA Headquarters,,251.819,251.819,1/1/2016, ,Payroll,Labor Expense,2016,251.819
HQ,MTA Headquarters,,63.414,63.414,1/1/2016, ,Pensions,Labor Expense,2016,63.414
HQ,MTA Headquarters,,151.191,151.191,1/1/2016, ,Professional Service Contracts,Non-labor Expense,2016,151.191
HQ,MTA Headquarters,,-68.884,-68.884,1/1/2016, ,Reimbursable Overhead,Labor Expense,2016,-68.884
HQ,MTA Headquarters,,2.206,2.206,1/1/2016, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2016,2.206
HQ,MTA Headquarters,,1.354,1.354,1/1/2017, ,Claims,Non-labor Expense,2017,1.354
HQ,MTA Headquarters,,4.895,4.895,1/1/2017, ,Electric Power,Non-labor Expense,2017,4.895
HQ,MTA Headquarters,,0.677,0.677,1/1/2017, ,Fuel,Non-labor Expense,2017,0.677
HQ,MTA Headquarters,,44.8,44.8,1/1/2017, ,Health and Welfare,Labor Expense,2017,44.8
HQ,MTA Headquarters,,2.253,2.253,1/1/2017, ,Insurance,Non-labor Expense,2017,2.253
HQ,MTA Headquarters,,66.795,66.795,1/1/2017, ,Maintenance and Other Operating Contracts,Non-labor Expense,2017,66.795
HQ,MTA Headquarters,,0.791,0.791,1/1/2017, ,Materials and Supplies,Non-labor Expense,2017,0.791
HQ,MTA Headquarters,,13.346,13.346,1/1/2017, ,OPEB Current Payment,Labor Expense,2017,13.346
HQ,MTA Headquarters,,18.962,18.962,1/1/2017, ,Other Business Expenses,Non-labor Expense,2017,18.962
HQ,MTA Headquarters,,30.165,30.165,1/1/2017, ,Other Fringe Benefits,Labor Expense,2017,30.165
HQ,MTA Headquarters,,20.562,20.562,1/1/2017, ,Overtime,Labor Expense,2017,20.562
HQ,MTA Headquarters,,0,0,1/1/2017, ,Paratransit Service Contracts,Non-labor Expense,2017,0
HQ,MTA Headquarters,,269.709,269.709,1/1/2017, ,Payroll,Labor Expense,2017,269.709
HQ,MTA Headquarters,,67.941,67.941,1/1/2017, ,Pensions,Labor Expense,2017,67.941
HQ,MTA Headquarters,,202.251,202.251,1/1/2017, ,Professional Service Contracts,Non-labor Expense,2017,202.251
HQ,MTA Headquarters,,-77.246,-77.246,1/1/2017, ,Reimbursable Overhead,Labor Expense,2017,-77.246
HQ,MTA Headquarters,,0,0,1/1/2017, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2017,0
HQ,MTA Headquarters,Mid-year forecast,3.72,3.72,1/1/2018, ,Claims,Non-labor Expense,2018,3.72
HQ,MTA Headquarters,Mid-year forecast,5.865,5.865,1/1/2018, ,Electric Power,Non-labor Expense,2018,5.865
HQ,MTA Headquarters,Mid-year forecast,0.923,0.923,1/1/2018, ,Fuel,Non-labor Expense,2018,0.923
HQ,MTA Headquarters,Mid-year forecast,55.08,55.08,1/1/2018, ,Health and Welfare,Labor Expense,2018,55.08
HQ,MTA Headquarters,Mid-year forecast,1.824,1.824,1/1/2018, ,Insurance,Non-labor Expense,2018,1.824
HQ,MTA Headquarters,Mid-year forecast,80.115,80.115,1/1/2018, ,Maintenance and Other Operating Contracts,Non-labor Expense,2018,80.115
HQ,MTA Headquarters,Mid-year forecast,0.515,0.515,1/1/2018, ,Materials and Supplies,Non-labor Expense,2018,0.515
HQ,MTA Headquarters,Mid-year forecast,15.643,15.643,1/1/2018, ,OPEB Current Payment,Labor Expense,2018,15.643
HQ,MTA Headquarters,Mid-year forecast,24.43,24.43,1/1/2018, ,Other Business Expenses,Non-labor Expense,2018,24.43
HQ,MTA Headquarters,Mid-year forecast,29.257,29.257,1/1/2018, ,Other Fringe Benefits,Labor Expense,2018,29.257
HQ,MTA Headquarters,Mid-year forecast,27.582,27.582,1/1/2018, ,Overtime,Labor Expense,2018,27.582
HQ,MTA Headquarters,Mid-year forecast,0,0,1/1/2018, ,Paratransit Service Contracts,Non-labor Expense,2018,0
HQ,MTA Headquarters,Mid-year forecast,285.033,285.033,1/1/2018, ,Payroll,Labor Expense,2018,285.033
HQ,MTA Headquarters,Mid-year forecast,72.481,72.481,1/1/2018, ,Pensions,Labor Expense,2018,72.481
HQ,MTA Headquarters,Mid-year forecast,193.519,193.519,1/1/2018, ,Professional Service Contracts,Non-labor Expense,2018,193.519
HQ,MTA Headquarters,Mid-year forecast,-55.866,-55.866,1/1/2018, ,Reimbursable Overhead,Labor Expense,2018,-55.866
HQ,MTA Headquarters,Mid-year forecast,0,0,1/1/2018, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2018,0
HQ,MTA Headquarters,Preliminary budget,2.326,2.326,1/1/2019,Projected,Claims,Non-labor Expense,2019,2.326
HQ,MTA Headquarters,Preliminary budget,6.648,6.648,1/1/2019,Projected,Electric Power,Non-labor Expense,2019,6.648
HQ,MTA Headquarters,Preliminary budget,1.206,1.206,1/1/2019,Projected,Fuel,Non-labor Expense,2019,1.206
HQ,MTA Headquarters,Preliminary budget,54.787,54.787,1/1/2019,Projected,Health and Welfare,Labor Expense,2019,54.787
HQ,MTA Headquarters,Preliminary budget,1.857,1.857,1/1/2019,Projected,Insurance,Non-labor Expense,2019,1.857
HQ,MTA Headquarters,Preliminary budget,95.747,95.747,1/1/2019,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2019,95.747
HQ,MTA Headquarters,Preliminary budget,0.566,0.566,1/1/2019,Projected,Materials and Supplies,Non-labor Expense,2019,0.566
HQ,MTA Headquarters,Preliminary budget,15.768,15.768,1/1/2019,Projected,OPEB Current Payment,Labor Expense,2019,15.768
HQ,MTA Headquarters,Preliminary budget,21.274,21.274,1/1/2019,Projected,Other Business Expenses,Non-labor Expense,2019,21.274
HQ,MTA Headquarters,Preliminary budget,33.822,33.822,1/1/2019,Projected,Other Fringe Benefits,Labor Expense,2019,33.822
HQ,MTA Headquarters,Preliminary budget,17.204,17.204,1/1/2019,Projected,Overtime,Labor Expense,2019,17.204
HQ,MTA Headquarters,Preliminary budget,0,0,1/1/2019,Projected,Paratransit Service Contracts,Non-labor Expense,2019,0
HQ,MTA Headquarters,Preliminary budget,288.188,288.188,1/1/2019,Projected,Payroll,Labor Expense,2019,288.188
HQ,MTA Headquarters,Preliminary budget,69.875,69.875,1/1/2019,Projected,Pensions,Labor Expense,2019,69.875
HQ,MTA Headquarters,Preliminary budget,235.988,235.988,1/1/2019,Projected,Professional Service Contracts,Non-labor Expense,2019,235.988
HQ,MTA Headquarters,Preliminary budget,-61.683,-61.683,1/1/2019,Projected,Reimbursable Overhead,Labor Expense,2019,-61.683
HQ,MTA Headquarters,Preliminary budget,0,0,1/1/2019,Projected,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2019,0
HQ,MTA Headquarters,Projected,2.142,2.142,1/1/2020,Projected,Claims,Non-labor Expense,2020,2.142
HQ,MTA Headquarters,Projected,6.965,6.965,1/1/2020,Projected,Electric Power,Non-labor Expense,2020,6.965
HQ,MTA Headquarters,Projected,1.122,1.122,1/1/2020,Projected,Fuel,Non-labor Expense,2020,1.122
HQ,MTA Headquarters,Projected,57.089,57.089,1/1/2020,Projected,Health and Welfare,Labor Expense,2020,57.089
HQ,MTA Headquarters,Projected,2.067,2.067,1/1/2020,Projected,Insurance,Non-labor Expense,2020,2.067
HQ,MTA Headquarters,Projected,81.749,81.749,1/1/2020,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2020,81.749
HQ,MTA Headquarters,Projected,0.356,0.356,1/1/2020,Projected,Materials and Supplies,Non-labor Expense,2020,0.356
HQ,MTA Headquarters,Projected,16.415,16.415,1/1/2020,Projected,OPEB Current Payment,Labor Expense,2020,16.415
HQ,MTA Headquarters,Projected,21.561,21.561,1/1/2020,Projected,Other Business Expenses,Non-labor Expense,2020,21.561
HQ,MTA Headquarters,Projected,36.291,36.291,1/1/2020,Projected,Other Fringe Benefits,Labor Expense,2020,36.291
HQ,MTA Headquarters,Projected,13.436,13.436,1/1/2020,Projected,Overtime,Labor Expense,2020,13.436
HQ,MTA Headquarters,Projected,0,0,1/1/2020,Projected,Paratransit Service Contracts,Non-labor Expense,2020,0
HQ,MTA Headquarters,Projected,303.495,303.495,1/1/2020,Projected,Payroll,Labor Expense,2020,303.495
HQ,MTA Headquarters,Projected,70.92,70.92,1/1/2020,Projected,Pensions,Labor Expense,2020,70.92
HQ,MTA Headquarters,Projected,173.827,173.827,1/1/2020,Projected,Professional Service Contracts,Non-labor Expense,2020,173.827
HQ,MTA Headquarters,Projected,-60.997,-60.997,1/1/2020,Projected,Reimbursable Overhead,Labor Expense,2020,-60.997
HQ,MTA Headquarters,Projected,0,0,1/1/2020,Projected,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2020,0
HQ,MTA Headquarters,Projected,2.356,2.356,1/1/2021,Projected,Claims,Non-labor Expense,2021,2.356
HQ,MTA Headquarters,Projected,7.13,7.13,1/1/2021,Projected,Electric Power,Non-labor Expense,2021,7.13
HQ,MTA Headquarters,Projected,1.151,1.151,1/1/2021,Projected,Fuel,Non-labor Expense,2021,1.151
HQ,MTA Headquarters,Projected,60.397,60.397,1/1/2021,Projected,Health and Welfare,Labor Expense,2021,60.397
HQ,MTA Headquarters,Projected,2.362,2.362,1/1/2021,Projected,Insurance,Non-labor Expense,2021,2.362
HQ,MTA Headquarters,Projected,84.091,84.091,1/1/2021,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2021,84.091
HQ,MTA Headquarters,Projected,0.367,0.367,1/1/2021,Projected,Materials and Supplies,Non-labor Expense,2021,0.367
HQ,MTA Headquarters,Projected,17.203,17.203,1/1/2021,Projected,OPEB Current Payment,Labor Expense,2021,17.203
HQ,MTA Headquarters,Projected,21.093,21.093,1/1/2021,Projected,Other Business Expenses,Non-labor Expense,2021,21.093
HQ,MTA Headquarters,Projected,37.471,37.471,1/1/2021,Projected,Other Fringe Benefits,Labor Expense,2021,37.471
HQ,MTA Headquarters,Projected,10.556,10.556,1/1/2021,Projected,Overtime,Labor Expense,2021,10.556
HQ,MTA Headquarters,Projected,0,0,1/1/2021,Projected,Paratransit Service Contracts,Non-labor Expense,2021,0
HQ,MTA Headquarters,Projected,310.138,310.138,1/1/2021,Projected,Payroll,Labor Expense,2021,310.138
HQ,MTA Headquarters,Projected,72.641,72.641,1/1/2021,Projected,Pensions,Labor Expense,2021,72.641
HQ,MTA Headquarters,Projected,173.215,173.215,1/1/2021,Projected,Professional Service Contracts,Non-labor Expense,2021,173.215
HQ,MTA Headquarters,Projected,-61.904,-61.904,1/1/2021,Projected,Reimbursable Overhead,Labor Expense,2021,-61.904
HQ,MTA Headquarters,Projected,0,0,1/1/2021,Projected,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2021,0
HQ,MTA Headquarters,Projected,2.592,2.592,1/1/2022,Projected,Claims,Non-labor Expense,2022,2.592
HQ,MTA Headquarters,Projected,7.378,7.378,1/1/2022,Projected,Electric Power,Non-labor Expense,2022,7.378
HQ,MTA Headquarters,Projected,1.167,1.167,1/1/2022,Projected,Fuel,Non-labor Expense,2022,1.167
HQ,MTA Headquarters,Projected,63.481,63.481,1/1/2022,Projected,Health and Welfare,Labor Expense,2022,63.481
HQ,MTA Headquarters,Projected,2.767,2.767,1/1/2022,Projected,Insurance,Non-labor Expense,2022,2.767
HQ,MTA Headquarters,Projected,86.971,86.971,1/1/2022,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2022,86.971
HQ,MTA Headquarters,Projected,0.377,0.377,1/1/2022,Projected,Materials and Supplies,Non-labor Expense,2022,0.377
HQ,MTA Headquarters,Projected,18.029,18.029,1/1/2022,Projected,OPEB Current Payment,Labor Expense,2022,18.029
HQ,MTA Headquarters,Projected,21.307,21.307,1/1/2022,Projected,Other Business Expenses,Non-labor Expense,2022,21.307
HQ,MTA Headquarters,Projected,38.671,38.671,1/1/2022,Projected,Other Fringe Benefits,Labor Expense,2022,38.671
HQ,MTA Headquarters,Projected,11.471,11.471,1/1/2022,Projected,Overtime,Labor Expense,2022,11.471
HQ,MTA Headquarters,Projected,0,0,1/1/2022,Projected,Paratransit Service Contracts,Non-labor Expense,2022,0
HQ,MTA Headquarters,Projected,316.464,316.464,1/1/2022,Projected,Payroll,Labor Expense,2022,316.464
HQ,MTA Headquarters,Projected,71.084,71.084,1/1/2022,Projected,Pensions,Labor Expense,2022,71.084
HQ,MTA Headquarters,Projected,177.835,177.835,1/1/2022,Projected,Professional Service Contracts,Non-labor Expense,2022,177.835
HQ,MTA Headquarters,Projected,-62.949,-62.949,1/1/2022,Projected,Reimbursable Overhead,Labor Expense,2022,-62.949
HQ,MTA Headquarters,Projected,0,0,1/1/2022,Projected,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2022,0
HQ,MTA Headquarters,Projected,2.592,2.592,1/1/2023,Projected,Claims,Non-labor Expense,2023,2.592
HQ,MTA Headquarters,Projected,8.045,8.045,1/1/2023,Projected,Electric Power,Non-labor Expense,2023,8.045
HQ,MTA Headquarters,Projected,1.288,1.288,1/1/2023,Projected,Fuel,Non-labor Expense,2023,1.288
HQ,MTA Headquarters,Projected,66.766,66.766,1/1/2023,Projected,Health and Welfare,Labor Expense,2023,66.766
HQ,MTA Headquarters,Projected,3.12,3.12,1/1/2023,Projected,Insurance,Non-labor Expense,2023,3.12
HQ,MTA Headquarters,Projected,89.167,89.167,1/1/2023,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2023,89.167
HQ,MTA Headquarters,Projected,0.389,0.389,1/1/2023,Projected,Materials and Supplies,Non-labor Expense,2023,0.389
HQ,MTA Headquarters,Projected,18.894,18.894,1/1/2023,Projected,OPEB Current Payment,Labor Expense,2023,18.894
HQ,MTA Headquarters,Projected,21.507,21.507,1/1/2023,Projected,Other Business Expenses,Non-labor Expense,2023,21.507
HQ,MTA Headquarters,Projected,39.863,39.863,1/1/2023,Projected,Other Fringe Benefits,Labor Expense,2023,39.863
HQ,MTA Headquarters,Projected,12.478,12.478,1/1/2023,Projected,Overtime,Labor Expense,2023,12.478
HQ,MTA Headquarters,Projected,0,0,1/1/2023,Projected,Paratransit Service Contracts,Non-labor Expense,2023,0
HQ,MTA Headquarters,Projected,323.186,323.186,1/1/2023,Projected,Payroll,Labor Expense,2023,323.186
HQ,MTA Headquarters,Projected,70.278,70.278,1/1/2023,Projected,Pensions,Labor Expense,2023,70.278
